date	source	country	level	area	tot_case	cur_admit	tot_recover	tot_death
20131202	NEJMoa1404505	GIN	1	Guinea	1			0
20131202	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20131202	NEJMoa1404505	GIN	3	Macenta 	0			0
20131202	NEJMoa1404505	GIN	3	Guéckédou	1			0
20131209	NEJMoa1404505	GIN	1	Guinea	1			1
20131209	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20131209	NEJMoa1404505	GIN	3	Macenta 	0			0
20131209	NEJMoa1404505	GIN	3	Guéckédou	1			1
20131216	NEJMoa1404505	GIN	1	Guinea	4			1
20131216	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20131216	NEJMoa1404505	GIN	3	Macenta 	0			0
20131216	NEJMoa1404505	GIN	3	Guéckédou	4			1
20131223	NEJMoa1404505	GIN	1	Guinea	4			4
20131223	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20131223	NEJMoa1404505	GIN	3	Macenta 	0			0
20131223	NEJMoa1404505	GIN	3	Guéckédou	4			4
20131230	NEJMoa1404505	GIN	1	Guinea	4			4
20131230	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20131230	NEJMoa1404505	GIN	3	Macenta 	0			0
20131230	NEJMoa1404505	GIN	3	Guéckédou	4			4
20140106	NEJMoa1404505	GIN	1	Guinea	4			4
20140106	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140106	NEJMoa1404505	GIN	3	Macenta 	0			0
20140106	NEJMoa1404505	GIN	3	Guéckédou	4			4
20140113	NEJMoa1404505	GIN	1	Guinea	7			4
20140113	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140113	NEJMoa1404505	GIN	3	Macenta 	0			0
20140113	NEJMoa1404505	GIN	3	Guéckédou	7			4
20140120	NEJMoa1404505	GIN	1	Guinea	10			7
20140120	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140120	NEJMoa1404505	GIN	3	Macenta 	0			0
20140120	NEJMoa1404505	GIN	3	Guéckédou	10			7
20140127	NEJMoa1404505	GIN	1	Guinea	15			10
20140127	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140127	NEJMoa1404505	GIN	3	Macenta 	0			0
20140127	NEJMoa1404505	GIN	3	Guéckédou	15			10
20140203	NEJMoa1404505	GIN	1	Guinea	18			15
20140203	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140203	NEJMoa1404505	GIN	3	Macenta 	0			0
20140203	NEJMoa1404505	GIN	3	Guéckédou	18			15
20140210	NEJMoa1404505	GIN	1	Guinea	22			18
20140210	NEJMoa1404505	GIN	3	Kissidougou 	0			0
20140210	NEJMoa1404505	GIN	3	Macenta 	2			0
