"","Total","Kissidougou","Macenta","Gueckedou","Conakry","Dabola","Dinguiraye","Telimele","Boffa","Kouroussa","Siguiri","Pita","Nzerekore","Yomou","Dubreka","Forecariah","Kerouane","Coyah","Dalaba","Kindia","Beyla","day"
"2013-12-02",1,0,0,1,,,,,,,,,,,,,,,,,,1
"2013-12-09",1,0,0,1,,,,,,,,,,,,,,,,,,8
"2013-12-16",4,0,0,4,,,,,,,,,,,,,,,,,,15
"2013-12-23",4,0,0,4,,,,,,,,,,,,,,,,,,22
"2013-12-30",4,0,0,4,,,,,,,,,,,,,,,,,,29
"2014-01-06",4,0,0,4,,,,,,,,,,,,,,,,,,36
"2014-01-13",7,0,0,7,,,,,,,,,,,,,,,,,,43
"2014-01-20",10,0,0,10,,,,,,,,,,,,,,,,,,50
"2014-01-27",15,0,0,15,,,,,,,,,,,,,,,,,,57
"2014-02-03",18,0,0,18,,,,,,,,,,,,,,,,,,64
"2014-02-10",22,0,2,20,,,,,,,,,,,,,,,,,,71
"2014-02-17",39,0,5,34,,,,,,,,,,,,,,,,,,78
"2014-02-24",48,2,7,39,,,,,,,,,,,,,,,,,,85
"2014-03-03",81,4,14,63,,,,,,,,,,,,,,,,,,92
"2014-03-10",100,7,19,74,,,,,,,,,,,,,,,,,,99
"2014-03-17",111,8,23,80,,,,,,,,,,,,,,,,,,106
"2014-04-17",203,,,,,,,,,,,,,,,,,,,,,137
"2014-04-30",221,,,,,,,,,,,,,,,,,,,,,150
"2014-05-02",226,6,22,140,53,4,1,,,,,,,,,,,,,,,152
"2014-05-05",231,6,22,145,53,4,1,,,,,,,,,,,,,,,155
"2014-05-07",235,6,22,149,53,4,1,,,,,,,,,,,,,,,157
"2014-05-09",237,6,22,151,53,4,1,,,,,,,,,,,,,,,159
"2014-05-10",233,6,23,149,50,4,1,,,,,,,,,,,,,,,160
"2014-05-15",246,6,22,163,50,4,1,,,,,,,,,,,,,,,165
"2014-05-18",251,6,22,168,50,4,1,,,,,,,,,,,,,,,168
"2014-05-23",256,6,22,170,50,4,1,3,,,,,,,,,,,,,,173
"2014-05-27",281,6,31,176,48,4,1,,,,,,,,,,,,,,,177
"2014-06-02",344,7,44,193,65,4,1,23,7,,,,,,,,,,,,,183
"2014-06-03",344,7,44,193,65,4,1,23,7,,,,,,,,,,,,,184
"2014-06-07",345,6,41,194,67,4,1,25,7,1,,,,,,,,,,,,188
"2014-06-17",390,6,41,224,70,4,1,25,19,1,,,,,,,,,,,,198
"2014-06-23",389,6,41,226,65,4,1,25,21,1,,,,,,,,,,,,204
"2014-06-30",413,,,,,,,,,,,,,,,,,,,,,211
"2014-07-02",412,,,,,,,,,,,,,,,,,,,,,213
"2014-07-06",408,,,,,,,,,,,,,,,,,,,,,217
"2014-07-08",409,,,,,,,,,,,,,,,,,,,,,219
"2014-07-12",406,,,,,,,,,,,,,,,,,,,,,223
"2014-07-14",411,,,,,,,,,,,,,,,,,,,,,225
