"","Total","Kailahun","Kenema","WesternAreaUrban","PortLoko","Kono","Kambia","Koinadugu","Bombali","Tonkolili","Pujehun","Bo","Moyamba","Bonthe","WesternAreaRural","day"
"2014-05-23",0,,,,,,,,,,,,,,,173
"2014-05-27",16,,,,,,,,,,,,,,,177
"2014-05-29",50,,,,,,,,,,,,,,,179
"2014-06-01",79,41,3,1,,,,,,,,,,,,182
"2014-06-05",81,,,,,,,,,,,,,,,186
"2014-06-06",89,,,,,,,,,,,,,,,187
"2014-06-15",95,,,,,,,,,,,,,,,196
"2014-06-17",114,92,19,1,2,,,,,,,,,,,198
"2014-06-23",157,135,19,2,1,,,,,,,,,,,204
"2014-06-30",239,,,,,,,,,,,,,,,211
"2014-07-02",252,,,,,,,,,,,,,,,213
"2014-07-06",305,,,,,,,,,,,,,,,217
"2014-07-08",337,,,,,,,,,,,,,,,219
"2014-07-12",386,,,,,,,,,,,,,,,223
"2014-07-14",397,,,,,,,,,,,,,,,225
"2014-07-17",442,,,,,,,,,,,,,,,228
"2014-07-20",454,,,,,,,,,,,,,,,231
"2014-07-23",525,,,,,,,,,,,,,,,234
"2014-07-28",533,,,,,,,,,,,,,,,239
"2014-07-31",574,,,,,,,,,,,,,,,242
"2014-08-01",646,,,,,,,,,,,,,,,243
"2014-08-04",691,,,,,,,,,,,,,,,246
"2014-08-06",717,,,,,,,,,,,,,,,248
"2014-08-09",730,,,,,,,,,,,,,,,251
"2014-08-11",783,,,,,,,,,,,,,,,253
"2014-08-12",800,410,269,14,25,35,1,0,9,2,3,25,5,1,1,254
"2014-08-13",810,421,265,17,25,35,1,0,9,2,3,25,5,1,1,255
"2014-08-14",823,421,273,17,27,35,1,0,9,2,3,25,6,1,3,256
"2014-08-15",836,421,278,20,29,35,1,0,9,2,3,28,6,1,3,257
"2014-08-16",848,430,282,21,29,35,1,0,9,2,3,25,6,1,4,258
"2014-08-17",850,433,281,21,29,35,1,0,9,2,3,25,6,1,4,259
"2014-08-18",907,452,302,21,34,35,1,0,13,2,3,26,10,1,7,260
"2014-08-19",910,455,302,23,34,35,1,0,12,2,4,27,9,1,5,261
"2014-08-20",902,456,294,23,33,35,1,0,12,2,4,27,9,1,5,262
"2014-08-21",913,457,294,23,34,35,1,0,13,8,4,28,9,1,6,263
"2014-08-22",966,463,304,27,47,35,1,0,19,10,5,34,9,1,11,264
"2014-08-23",994,474,312,27,56,35,1,0,19,10,5,34,9,1,11,265
"2014-08-24",1025,486,324,30,56,35,1,0,19,11,5,36,9,1,12,266
"2014-08-25",1050,486,331,33,60,35,1,0,22,14,7,36,9,1,15,267
"2014-08-26",1057,486,333,38,60,35,1,0,22,14,7,36,9,1,15,268
"2014-08-27",1087,494,339,41,60,35,1,0,25,15,7,36,9,1,24,269
"2014-08-28",1117,499,343,44,65,35,1,0,37,15,7,36,9,1,25,270
"2014-08-29",1140,504,347,47,65,35,1,5,37,15,7,41,9,1,26,271
"2014-08-30",1190,508,361,55,74,35,1,5,41,17,7,47,9,1,29,272
"2014-08-31",1216,516,367,57,74,38,1,1,46,17,7,52,9,1,30,273
"2014-09-01",1226,517,367,60,74,39,1,0,46,17,8,53,9,1,34,274
"2014-09-02",1261,528,379,64,79,39,1,0,46,18,8,54,9,1,35,275
"2014-09-03",1292,542,384,67,80,43,1,0,46,20,9,54,9,1,36,276
"2014-09-05",1361,552,394,72,93,44,1,0,54,20,9,67,13,1,41,278
"2014-09-06",1409,552,401,76,104,47,1,0,69,22,9,70,15,1,42,279
"2014-09-07",1424,552,407,79,104,47,1,0,69,22,12,73,15,1,42,280
"2014-09-08",1443,558,409,84,107,47,1,0,69,22,12,73,16,1,44,281
"2014-09-09",1478,558,415,92,111,51,1,0,75,26,11,73,16,1,48,282
"2014-09-10",1509,558,419,97,125,51,2,0,75,27,11,75,16,1,52,283
"2014-09-11",1551,558,420,103,138,55,3,0,75,31,11,84,20,1,52,284
"2014-09-12",1586,558,422,110,148,55,3,0,84,32,11,87,20,1,54,285
"2014-09-13",1603,578,425,118,148,55,3,0,86,33,11,88,19,1,55,286
"2014-09-14",1655,561,437,123,148,55,3,0,118,34,11,88,19,1,59,287
"2014-09-15",1703,579,438,136,160,55,3,0,118,34,11,88,19,1,61,288
"2014-09-16",1735,601,438,138,160,55,3,0,119,37,11,90,19,2,62,289
"2014-09-17",1753,579,439,137,165,55,4,0,129,41,11,90,28,2,65,290
"2014-09-18",1791,579,438,155,180,56,4,0,129,46,11,95,28,2,68,291
"2014-09-19",1813,579,439,163,181,56,4,0,129,46,11,95,37,2,71,292
"2014-09-20",1876,579,443,168,182,58,4,0,158,46,11,95,46,2,84,293
"2014-09-21",1940,579,449,182,195,58,10,0,159,58,14,95,46,3,92,294
"2014-09-22",1967,579,450,185,194,58,10,0,159,62,14,103,47,3,103,295
"2014-09-23",2021,579,450,192,212,59,10,0,160,63,17,104,60,3,112,296
"2014-09-24",2092,579,452,204,225,59,13,0,192,63,17,102,60,3,123,297
"2014-09-25",2120,579,453,210,242,59,13,0,187,69,17,102,60,3,126,298
"2014-09-26",2149,579,459,210,242,59,13,0,203,69,17,103,66,3,126,299
"2014-09-27",2208,579,459,222,242,59,13,0,232,69,17,109,67,3,137,300
"2014-09-28",2317,579,461,237,285,59,15,0,238,84,20,111,67,3,158,301
"2014-09-29",2407,579,463,264,312,62,19,0,240,89,20,111,67,3,178,302
