"","day","tot_case","tot_death","GINc","GINd","SLEc","SLEd","LBRc","LBRd"
"2013-12-02",1,NA,NA,1,0,NA,NA,NA,NA
"2013-12-03",2,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-04",3,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-05",4,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-06",5,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-07",6,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-08",7,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-09",8,NA,NA,1,1,NA,NA,NA,NA
"2013-12-10",9,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-11",10,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-12",11,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-13",12,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-14",13,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-15",14,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-16",15,NA,NA,4,1,NA,NA,NA,NA
"2013-12-17",16,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-18",17,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-19",18,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-20",19,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-21",20,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-22",21,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-23",22,NA,NA,4,4,NA,NA,NA,NA
"2013-12-24",23,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-25",24,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-26",25,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-27",26,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-28",27,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-29",28,NA,NA,NA,NA,NA,NA,NA,NA
"2013-12-30",29,NA,NA,4,4,NA,NA,NA,NA
"2013-12-31",30,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",31,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-02",32,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-03",33,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-04",34,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-05",35,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-06",36,NA,NA,4,4,NA,NA,NA,NA
"2014-01-07",37,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-08",38,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-09",39,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-10",40,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-11",41,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-12",42,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-13",43,NA,NA,7,4,NA,NA,NA,NA
"2014-01-14",44,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-15",45,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-16",46,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-17",47,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-18",48,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-19",49,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-20",50,NA,NA,10,7,NA,NA,NA,NA
"2014-01-21",51,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-22",52,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-23",53,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-24",54,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-25",55,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-26",56,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-27",57,NA,NA,15,10,NA,NA,NA,NA
"2014-01-28",58,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-29",59,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-30",60,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-31",61,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-01",62,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-02",63,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-03",64,NA,NA,18,15,NA,NA,NA,NA
"2014-02-04",65,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-05",66,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-06",67,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-07",68,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-08",69,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-09",70,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-10",71,NA,NA,22,18,NA,NA,NA,NA
"2014-02-11",72,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-12",73,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-13",74,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-14",75,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-15",76,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-16",77,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-17",78,NA,NA,39,22,NA,NA,NA,NA
"2014-02-18",79,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-19",80,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-20",81,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-21",82,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-22",83,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-23",84,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-24",85,NA,NA,48,34,NA,NA,NA,NA
"2014-02-25",86,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-26",87,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-27",88,NA,NA,NA,NA,NA,NA,NA,NA
"2014-02-28",89,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-01",90,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-02",91,NA,NA,NA,NA,NA,NA,NA,NA
"2014-03-03",92,NA,NA,81,40,NA,NA,NA,NA
